capacity,scheme,seed,success_ratio,tx_load
4,Ballast,6,0.7021,50000
4,Ballast-PC,6,0.41444,50000
4,LN,7,0.41346,50000
4,Revive,7,0.4144,50000
4,Shaduf,7,0.63136,50000
4,Horcrux,7,0.64786,50000
4,Ballast,7,0.70724,50000
4,Ballast-PC,7,0.41788,50000
4,LN,8,0.40942,50000
4,Revive,8,0.41112,50000
4,Shaduf,8,0.62646,50000
4,Horcrux,8,0.63712,50000
4,Ballast,8,0.70558,50000
4,Ballast-PC,8,0.4145,50000
4,LN,9,0.40716,50000
4,Revive,9,0.4086,50000
4,Shaduf,9,0.62712,50000
4,Horcrux,9,0.6381,50000
4,Ballast,9,0.70536,50000
4,Ballast-PC,9,0.4127,50000
8,LN,0,0.56606,50000
8,Revive,0,0.5691,50000
8,Shaduf,0,0.748,50000
8,Horcrux,0,0.75788,50000
8,Ballast,0,0.80468,50000
8,Ballast-PC,0,0.57728,50000
8,LN,1,0.56734,50000
8,Revive,1,0.56876,50000
8,Shaduf,1,0.75068,50000
8,Horcrux,1,0.75808,50000
8,Ballast,1,0.8014,50000
8,Ballast-PC,1,0.57544,50000
8,LN,2,0.56868,50000
8,Revive,2,0.5706,50000
8,Shaduf,2,0.7503,50000
8,Horcrux,2,0.76,50000
8,Ballast,2,0.80434,50000
8,Ballast-PC,2,0.57734,50000
8,LN,3,0.56816,50000
8,Revive,3,0.57148,50000
8,Shaduf,3,0.74746,50000
8,Horcrux,3,0.75514,50000
8,Ballast,3,0.8016,50000
8,Ballast-PC,3,0.57858,50000
8,LN,4,0.57084,50000
8,Revive,4,0.57282,50000
8,Shaduf,4,0.75084,50000
8,Horcrux,4,0.76014,50000
8,Ballast,4,0.80654,50000
8,Ballast-PC,4,0.58116,50000
8,LN,5,0.57088,50000
8,Revive,5,0.5724,50000
8,Shaduf,5,0.7457,50000
8,Horcrux,5,0.75286,50000
8,Ballast,5,0.79956,50000
8,Ballast-PC,5,0.58098,50000
8,LN,6,0.5737,50000
8,Revive,6,0.57526,50000
8,Shaduf,6,0.74808,50000
8,Horcrux,6,0.75638,50000
8,Ballast,6,0.8005,50000
8,Ballast-PC,6,0.58188,50000
8,LN,7,0.5751,50000
8,Revive,7,0.57726,50000
8,Shaduf,7,0.7549,50000
8,Horcrux,7,0.76394,50000
8,Ballast,7,0.8075,50000
8,Ballast-PC,7,0.58374,50000
8,LN,8,0.57104,50000
8,Revive,8,0.5732,50000
8,Shaduf,8,0.75178,50000
8,Horcrux,8,0.75748,50000
8,Ballast,8,0.80326,50000
8,Ballast-PC,8,0.57954,50000
8,LN,9,0.57032,50000
8,Revive,9,0.57244,50000
8,Shaduf,9,0.7487,50000
8,Horcrux,9,0.7544,50000
8,Ballast,9,0.80048,50000
8,Ballast-PC,9,0.57844,50000
16,LN,0,0.71006,50000
16,Revive,0,0.71442,50000
16,Shaduf,0,0.84116,50000
16,Horcrux,0,0.84928,50000
16,Ballast,0,0.8819,50000
16,Ballast-PC,0,0.72222,50000
16,LN,1,0.7118,50000
16,Revive,1,0.715,50000
16,Shaduf,1,0.84232,50000
16,Horcrux,1,0.85108,50000
16,Ballast,1,0.88118,50000
16,Ballast-PC,1,0.72074,50000
16,LN,2,0.71522,50000
16,Revive,2,0.71842,50000
16,Shaduf,2,0.84196,50000
16,Horcrux,2,0.85012,50000
16,Ballast,2,0.88192,50000
16,Ballast-PC,2,0.72604,50000
16,LN,3,0.7145,50000
16,Revive,3,0.71788,50000
16,Shaduf,3,0.84258,50000
16,Horcrux,3,0.84754,50000
16,Ballast,3,0.88064,50000
16,Ballast-PC,3,0.72396,50000
16,LN,4,0.71562,50000
16,Revive,4,0.71958,50000
16,Shaduf,4,0.84426,50000
16,Horcrux,4,0.85074,50000
16,Ballast,4,0.88414,50000
16,Ballast-PC,4,0.72644,50000
16,LN,5,0.71814,50000
16,Revive,5,0.72086,50000
16,Shaduf,5,0.8397,50000
16,Horcrux,5,0.84776,50000
16,Ballast,5,0.87816,50000
16,Ballast-PC,5,0.7267,50000
16,LN,6,0.71862,50000
16,Revive,6,0.72172,50000
16,Shaduf,6,0.8408,50000
16,Horcrux,6,0.8482,50000
16,Ballast,6,0.8806,50000
16,Ballast-PC,6,0.72798,50000
16,LN,7,0.71812,50000
16,Revive,7,0.72174,50000
16,Shaduf,7,0.84262,50000
16,Horcrux,7,0.85146,50000
16,Ballast,7,0.88146,50000
16,Ballast-PC,7,0.72634,50000
16,LN,8,0.71592,50000
16,Revive,8,0.71938,50000
16,Shaduf,8,0.84282,50000
16,Horcrux,8,0.85058,50000
16,Ballast,8,0.88112,50000
16,Ballast-PC,8,0.7259,50000
16,LN,9,0.71434,50000
16,Revive,9,0.71666,50000
16,Shaduf,9,0.8389,50000
16,Horcrux,9,0.84686,50000
16,Ballast,9,0.87816,50000
16,Ballast-PC,9,0.7231,50000
25,LN,0,0.78612,50000
25,Revive,0,0.78964,50000
25,Shaduf,0,0.88168,50000
25,Horcrux,0,0.89278,50000
25,Ballast,0,0.91896,50000
25,Ballast-PC,0,0.79508,50000
25,LN,1,0.78338,50000
25,Revive,1,0.78708,50000
25,Shaduf,1,0.8804,50000
25,Horcrux,1,0.89178,50000
25,Ballast,1,0.9174,50000
25,Ballast-PC,1,0.79192,50000
25,LN,2,0.79062,50000
25,Revive,2,0.7936,50000
25,Shaduf,2,0.8819,50000
25,Horcrux,2,0.89228,50000
25,Ballast,2,0.91814,50000
25,Ballast-PC,2,0.7991,50000
25,LN,3,0.78696,50000
25,Revive,3,0.79096,50000
25,Shaduf,3,0.88312,50000
25,Horcrux,3,0.89086,50000
25,Ballast,3,0.91978,50000
25,Ballast-PC,3,0.79454,50000
25,LN,4,0.78852,50000
25,Revive,4,0.7923,50000
25,Shaduf,4,0.88274,50000
25,Horcrux,4,0.89484,50000
25,Ballast,4,0.91872,50000
25,Ballast-PC,4,0.79762,50000
25,LN,5,0.78866,50000
25,Revive,5,0.7914,50000
25,Shaduf,5,0.87964,50000
25,Horcrux,5,0.88936,50000
25,Ballast,5,0.91426,50000
25,Ballast-PC,5,0.79678,50000
25,LN,6,0.79188,50000
25,Revive,6,0.79526,50000
25,Shaduf,6,0.88192,50000
25,Horcrux,6,0.89276,50000
25,Ballast,6,0.91598,50000
25,Ballast-PC,6,0.79844,50000
25,LN,7,0.78788,50000
25,Revive,7,0.79258,50000
25,Shaduf,7,0.88446,50000
25,Horcrux,7,0.89306,50000
25,Ballast,7,0.9193,50000
25,Ballast-PC,7,0.79624,50000
25,LN,8,0.7882,50000
25,Revive,8,0.79198,50000
25,Shaduf,8,0.88302,50000
25,Horcrux,8,0.89216,50000
25,Ballast,8,0.91928,50000
25,Ballast-PC,8,0.79614,50000
25,LN,9,0.78714,50000
25,Revive,9,0.78996,50000
25,Shaduf,9,0.8797,50000
25,Horcrux,9,0.88884,50000
25,Ballast,9,0.91456,50000
25,Ballast-PC,9,0.79426,50000
